,CustomerId,Profit,Recency,Frequency,Monetary,Variance,RFM_group_name,SegmentID,Segment_Name
817,853.0,102.0,3.0,6.0,1914.9,8.0,Potential Loyalist,2,srebro
818,854.0,1767.0,5.0,22.0,97272.49,60.0,Champion,1,złoto
819,855.0,188.0,6.0,17.0,6303.24,9.0,Loyal Custome,1,złoto
820,857.0,728.0,5.0,16.0,32955.25,34.0,Champion,1,złoto
821,858.0,140.0,10.0,7.0,4532.66,9.0,Loyal Custome,2,srebro
822,859.0,527.0,4.0,9.0,58293.79,34.0,Loyal Custome,1,złoto
823,860.0,120.0,4.0,3.0,812.4,1.0,Potential Loyalist,2,srebro
824,861.0,1881.0,5.0,16.0,105506.26,59.0,Champion,1,złoto
825,862.0,573.0,5.0,9.0,64052.41,31.0,Loyal Custome,1,złoto
826,863.0,829.0,4.0,24.0,20503.36,15.0,Champion,1,złoto
827,864.0,827.0,6.0,17.0,47474.76,26.0,Loyal Custome,1,złoto
828,865.0,377.0,59.0,4.0,3966.05,6.0,At Risk,0,brąz
829,866.0,451.0,10.0,12.0,21288.87,27.0,Loyal Custome,1,złoto
830,867.0,636.0,5.0,9.0,28069.56,38.0,Loyal Custome,1,złoto
831,869.0,1.0,32.0,1.0,7.89,1.0,Hibernating,0,brąz
832,870.0,580.0,4.0,18.0,14664.93,31.0,Champion,1,złoto
833,871.0,148.0,7.0,11.0,3639.95,13.0,Loyal Custome,2,srebro
834,872.0,653.0,6.0,12.0,31333.94,15.0,Loyal Custome,1,złoto
835,873.0,64.0,13.0,12.0,1060.49,7.0,At Risk,2,srebro
836,874.0,1259.0,7.0,17.0,52100.2,43.0,Loyal Custome,1,złoto
837,875.0,356.0,3.0,24.0,9277.15,13.0,Loyal Custome,1,złoto
838,876.0,150.0,5.0,6.0,3720.72,4.0,Potential Loyalist,2,srebro
839,877.0,10.0,17.0,2.0,197.88,2.0,About To Sleep,0,brąz
840,878.0,355.0,4.0,13.0,22050.02,15.0,Champion,1,złoto
841,880.0,300.0,4.0,2.0,6999.14,3.0,Potential Loyalist,2,srebro
842,881.0,78.0,48.0,4.0,3660.77,8.0,At Risk,0,brąz
843,882.0,300.0,4.0,2.0,6999.14,3.0,Potential Loyalist,2,srebro
844,883.0,30.0,6.0,3.0,892.01,8.0,Potential Loyalist,2,srebro
845,884.0,781.0,4.0,10.0,39485.52,35.0,Loyal Custome,1,złoto
846,885.0,4.0,17.0,1.0,37.74,1.0,About To Sleep,0,brąz
847,886.0,1100.0,2.0,28.0,52876.97,41.0,Champion,1,złoto
848,887.0,33.0,32.0,6.0,651.37,5.0,Hibernating,0,brąz
849,888.0,246.0,1.0,3.0,10788.36,8.0,Uncertain,1,złoto
